dataset,path,exists,size_bytes,sha256,rows_checked,columns,label_column_found,used_reference_header,derived_label_from_path,label_preview,known_sha256_match
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\Benign\BenignTraffic.pcap_Flow.csv,True,99218013,8a87f915c1c6afb490fd00cbf4e50b178a2515a40de25cadce62e2ba96c6f4e9,5000,84,True,False,True,{'Benign': 5000},
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\Benign\BenignTraffic1.pcap_Flow.csv,True,46444676,9c0164ab814f36c209ade5f3d3ed7e0ec4ee600029c3d09bb9ca4de0bde08d6d,5000,84,True,False,True,{'Benign': 5000},
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\Benign\BenignTraffic2.pcap_Flow.csv,True,50213637,b2fef1e955fd2c3d4e87383d1c17e84f3a119706d92031299cfa03df080385be,5000,84,True,False,True,{'Benign': 5000},
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\Benign\BenignTraffic3.pcap_Flow.csv,True,21396965,811e425e0b5465b6a4d365c3df1cfcac68a258747b991620562aafea9824240b,5000,84,True,False,True,{'Benign': 5000},
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\BruteForce\DictionaryBruteForce.pcap_Flow.csv,True,1746742,570062335b2d1e2d8c293bc5bac3df715b01f5fb8a8018724f48b864957a3264,3619,84,True,False,True,{'Attack': 3619},
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation.pcap_Flow.csv,True,159613102,b872e884c451a3b0e5b44331c780bac1008daa79294ab6039f20427a94ad4d04,5000,84,True,False,True,{'Attack': 5000},
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation1.pcap_Flow.csv,True,70939690,bcdc6bf78f0e024c1b4493c1cf4ac7b60712390206c44e602b37dceef7ec8dfc,5000,84,True,False,True,{'Attack': 5000},
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation10.pcap_Flow.csv,True,85408284,2326b1a14586f6cecc9fa4a039e2bd28dc5859a9b7a076f4a9547d18d181df7a,5000,84,True,False,True,{'Attack': 5000},
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation11.pcap_Flow.csv,True,101914829,f0c4c69fdcf5f61287509f4322d38db109c63e5549cb33578129610ab75def5e,5000,84,True,False,True,{'Attack': 5000},
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation12.pcap_Flow.csv,True,19333520,0e98c9dc398316f1c52ba10a3da37ae579327efb2e8d86c2cd5ad71d1f9d3fb6,5000,84,True,False,True,{'Attack': 5000},
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation2.pcap_Flow.csv,True,62655736,4b07c4e110b6f84820372b104e6059951ae4fa38281ecf9e09f797c61c8e78de,5000,84,True,False,True,{'Attack': 5000},
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation3.pcap_Flow.csv,True,88817841,f13350f364cddfec92e461906f5374940f8c965df933c320f75af778c1d00e16,5000,84,True,False,True,{'Attack': 5000},
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation4.pcap_Flow.csv,True,77640883,67a512793463512776e265f1a419fb76f81c10a3ea83f08c8011fa15a03f9a62,5000,84,True,False,True,{'Attack': 5000},
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation5.pcap_Flow.csv,True,107458397,696bd73b2221854bc9e448345be25d265d5070c422db18776b26f38c6128047d,5000,84,True,False,True,{'Attack': 5000},
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation6.pcap_Flow.csv,True,108091294,5df04e95bba29dabce60420adc8f35982b91d04f0b8fdd6f537f53db7944d567,5000,84,True,False,True,{'Attack': 5000},
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation7.pcap_Flow.csv,True,66183328,1a7d2ef6130bddf4da7c0c709f6fb806f2342af0f55be30f2c54a5f23fff2030,5000,84,True,False,True,{'Attack': 5000},
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation8.pcap_Flow.csv,True,90984886,a51489773ba42bdf3914e4440e34e716b3518682657a84795694b294ab1b94b2,5000,84,True,False,True,{'Attack': 5000},
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation9.pcap_Flow.csv,True,199082214,575c708523c9004a68314f6dffee7afc64109a9b64b05c322d1b605c53428214,5000,84,True,False,True,{'Attack': 5000},
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ICMP Flood\DDoS-ICMP_Flood.pcap_Flow.csv,True,5565737,ee89becdee907b38ca54abae43c75085575a6c5cc51e42562a194180749d5d8e,5000,84,True,False,True,{'Attack': 5000},
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ICMP Flood\DDoS-ICMP_Flood1.pcap_Flow.csv,True,4282020,80fc500270f4ebc5babc7aefb4f53de026715f858ff9aea1919c1a41de63a9f1,5000,84,True,False,True,{'Attack': 5000},
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ICMP Flood\DDoS-ICMP_Flood10.pcap_Flow.csv,True,4034821,2d2310668cce5aeb8c7696ee4bf5833f4b2a43bea12b7ed71c416561e53cbc4a,5000,84,True,False,True,{'Attack': 5000},
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ICMP Flood\DDoS-ICMP_Flood11.pcap_Flow.csv,True,4389260,2fe07d3aef8d3b81d755b323db8cf0298a445bff954deaaa8119f4b6c0b7bb37,5000,84,True,False,True,{'Attack': 5000},
